@fichero, bias_medio, bias_mediana, bias_desvTipica, dia_juliano
cali_0001.fits,820.1085,820.0,2.9652,2457591.94519
cali_0002.fits,818.7087,819.0,2.9652,2457591.94631
cali_0003.fits,818.0207,818.0,2.9652,2457591.94744
cali_0004.fits,818.0592,818.0,2.9652,2457591.94857
cali_0005.fits,817.9069,818.0,2.9652,2457591.94969
cali_0006.fits,817.6729,818.0,2.2239,2457591.95082
cali_0007.fits,817.4427,817.0,2.2239,2457591.95194
cali_0008.fits,817.1742,817.0,2.9652,2457591.95308
cali_0009.fits,817.0737,817.0,2.9652,2457591.9542
cali_0010.fits,816.9323,817.0,2.9652,2457591.95534
cali_0011.fits,816.8325,817.0,2.9652,2457591.95646
cali_0012.fits,816.7853,817.0,2.2239,2457591.95758
cali_0013.fits,816.7041,817.0,2.2239,2457591.95872
cali_0014.fits,816.6047,817.0,2.2239,2457591.95984
cali_0015.fits,816.5638,817.0,2.2239,2457591.96096
cali_0016.fits,816.5037,816.0,2.2239,2457591.96209
cali_0017.fits,816.5354,817.0,2.2239,2457591.96322
cali_0018.fits,816.4506,816.0,2.2239,2457591.96435
cali_0019.fits,816.4748,816.0,2.2239,2457591.96547
cali_0020.fits,816.4368,816.0,2.2239,2457591.9666
cali_0021.fits,816.3202,816.0,2.2239,2457591.96773
cali_0022.fits,816.4211,816.0,2.2239,2457591.96885
cali_0023.fits,816.4248,816.0,2.2239,2457591.96999
cali_0024.fits,816.4035,816.0,2.2239,2457591.97111
cali_0025.fits,816.402,816.0,2.2239,2457591.97223
cali_0026.fits,816.3872,816.0,2.2239,2457591.97337
cali_0027.fits,816.3277,816.0,2.2239,2457591.97449
cali_0028.fits,816.2408,816.0,2.2239,2457591.97562
cali_0029.fits,816.3119,816.0,2.2239,2457591.97675
cali_0030.fits,816.3124,816.0,2.2239,2457591.97787
lilJ_0023.fits,815.8065,816.0,2.2239,2457592.70124
lilJ_0024.fits,815.8668,816.0,2.9652,2457592.70236
lilJ_0025.fits,815.8239,816.0,2.2239,2457592.70348
lilJ_0026.fits,815.8589,816.0,2.9652,2457592.70462
lilJ_0027.fits,815.8195,816.0,2.9652,2457592.70574
lilJ_0028.fits,815.8786,816.0,2.9652,2457592.70686
lilJ_0029.fits,815.782,816.0,2.2239,2457592.708
lilJ_0030.fits,815.8483,816.0,2.9652,2457592.70912
lilJ_0031.fits,815.8041,816.0,2.2239,2457592.71024
lilJ_0032.fits,815.8316,816.0,2.9652,2457592.71138
lilJ_0033.fits,815.8316,816.0,2.9652,2457592.7125
lilJ_0034.fits,815.7902,816.0,2.2239,2457592.71362
lilJ_0035.fits,815.7899,816.0,2.2239,2457592.71476
lilJ_0036.fits,815.7516,816.0,2.2239,2457592.71588
lilJ_0037.fits,815.7842,816.0,2.2239,2457592.717
lilJ_0038.fits,815.7678,816.0,2.2239,2457592.71814
lilJ_0039.fits,815.7689,816.0,2.2239,2457592.71926
lilJ_0040.fits,815.7664,816.0,2.2239,2457592.72038
lilJ_0041.fits,815.8467,816.0,2.9652,2457592.7215
lilJ_0042.fits,815.8492,816.0,2.9652,2457592.72264
lilJ_0043.fits,815.8168,816.0,2.2239,2457592.72376
lilJ_0044.fits,815.8479,816.0,2.9652,2457592.72488
lilJ_0045.fits,815.8599,816.0,2.9652,2457592.72601
lilJ_0046.fits,815.852,816.0,2.9652,2457592.72714
lilJ_0047.fits,815.8184,816.0,2.9652,2457592.72826
lilJ_0048.fits,815.7896,816.0,2.2239,2457592.7294
lilJ_0049.fits,815.8129,816.0,2.2239,2457592.73052
lilJ_0050.fits,815.7688,816.0,2.2239,2457592.73165
lilJ_0051.fits,815.7501,816.0,2.2239,2457592.73278
lilJ_0052.fits,815.7894,816.0,2.2239,2457592.7339
