@fichero, bias_medio, bias_mediana, bias_desvTipica, dia_juliano
cali_0001.fits,815.4435,815.0,2.2239,2457594.14566
cali_0002.fits,815.3733,815.0,2.2239,2457594.14678
cali_0003.fits,815.3911,815.0,2.2239,2457594.14792
cali_0004.fits,815.7073,815.0,2.2239,2457594.14904
cali_0005.fits,815.473,815.0,2.2239,2457594.15016
cali_0006.fits,815.5078,815.0,2.2239,2457594.1513
cali_0007.fits,815.4726,815.0,2.2239,2457594.15242
cali_0008.fits,815.4299,815.0,2.2239,2457594.15354
cali_0009.fits,815.4594,815.0,2.2239,2457594.15468
cali_0010.fits,815.3764,815.0,2.2239,2457594.1558
cali_0011.fits,815.3471,815.0,2.2239,2457594.15692
cali_0012.fits,815.3689,815.0,2.2239,2457594.15806
cali_0013.fits,815.3662,815.0,2.2239,2457594.15918
cali_0014.fits,815.3812,815.0,2.2239,2457594.1603
cali_0015.fits,815.3861,815.0,2.2239,2457594.16144
cali_0016.fits,815.3203,815.0,2.2239,2457594.16256
cali_0017.fits,815.3169,815.0,2.2239,2457594.16368
cali_0018.fits,815.2682,815.0,2.2239,2457594.16481
cali_0019.fits,815.2981,815.0,2.2239,2457594.16594
cali_0020.fits,815.3139,815.0,2.2239,2457594.16707
cali_0021.fits,815.284,815.0,2.2239,2457594.16819
cali_0022.fits,815.2701,815.0,2.2239,2457594.16932
cali_0023.fits,815.3016,815.0,2.2239,2457594.17045
cali_0024.fits,815.2053,815.0,2.2239,2457594.17157
cali_0025.fits,815.3274,815.0,2.2239,2457594.1727
cali_0026.fits,815.3429,815.0,2.2239,2457594.17383
cali_0027.fits,815.3527,815.0,2.2239,2457594.17495
cali_0028.fits,815.3629,815.0,2.2239,2457594.17608
cali_0029.fits,815.3449,815.0,2.2239,2457594.17721
cali_0030.fits,815.2404,815.0,2.2239,2457594.17833
lilJ_0111.fits,819.2499,819.0,2.9652,2457594.68803
lilJ_0112.fits,817.4013,817.0,2.2239,2457594.68915
lilJ_0113.fits,816.7929,817.0,2.2239,2457594.69028
lilJ_0114.fits,816.4591,816.0,2.2239,2457594.69141
lilJ_0115.fits,816.0997,816.0,2.9652,2457594.69253
lilJ_0116.fits,815.9414,816.0,2.9652,2457594.69366
lilJ_0117.fits,815.8195,816.0,2.2239,2457594.69479
lilJ_0118.fits,815.6903,816.0,2.2239,2457594.69591
lilJ_0119.fits,815.5423,816.0,2.2239,2457594.69704
lilJ_0120.fits,815.5039,815.0,2.2239,2457594.69816
lilJ_0121.fits,815.4021,815.0,2.2239,2457594.69929
lilJ_0122.fits,815.3682,815.0,2.2239,2457594.70042
lilJ_0123.fits,815.3585,815.0,2.2239,2457594.70154
lilJ_0124.fits,815.3382,815.0,2.2239,2457594.70267
lilJ_0125.fits,815.3669,815.0,2.2239,2457594.7038
lilJ_0126.fits,815.4018,815.0,2.2239,2457594.70492
lilJ_0127.fits,815.3763,815.0,2.2239,2457594.70604
lilJ_0128.fits,815.3903,815.0,2.2239,2457594.70718
lilJ_0129.fits,815.4119,815.0,2.2239,2457594.7083
lilJ_0130.fits,815.3442,815.0,2.2239,2457594.70942
lilJ_0131.fits,815.3074,815.0,2.2239,2457594.71054
lilJ_0132.fits,815.3609,815.0,2.2239,2457594.71168
lilJ_0133.fits,815.2571,815.0,2.2239,2457594.7128
lilJ_0134.fits,815.2586,815.0,2.2239,2457594.71392
lilJ_0135.fits,815.0651,815.0,2.9652,2457594.71505
lilJ_0136.fits,815.1127,815.0,2.9652,2457594.71618
lilJ_0137.fits,815.0913,815.0,2.9652,2457594.7173
lilJ_0138.fits,815.0707,815.0,2.9652,2457594.71843
lilJ_0139.fits,815.0308,815.0,2.9652,2457594.71956
lilJ_0140.fits,815.1576,815.0,2.9652,2457594.72068
