@IdSpot,posVenX,posVenY,posX,posY,Intensidad
1,800,1829,810.094,1837.0217,341867
2,581,1725,590.5437,1733.3752,361534
3,664,1728,674.4287,1735.4757,368179
4,362,1538,372.7686,1546.415,342925
5,531,1512,540.9227,1519.4201,351541
6,672,1514,682.5977,1522.2064,394015
7,721,1667,731.9761,1674.1259,378669
8,450,1692,460.6797,1699.5152,326744
9,752,1458,762.1279,1466.4126,328637
10,387,1599,397.9288,1606.1621,342947
11,786,1669,797.1784,1676.3299,326827
12,700,1545,710.8868,1552.1511,326974
13,985,1771,995.3644,1778.4138,370446
14,1022,1584,1032.4661,1592.2935,414074
15,904,1551,914.7932,1558.1627,344078
16,966,1380,976.2141,1388.418,327137
17,413,1288,423.7099,1296.2684,424962
18,423,1236,433.7502,1244.2133,410111
19,509,1370,518.9641,1377.8789,490632
20,608,1213,618.3562,1220.618,327433
21,875,1323,885.8122,1331.0618,327887
22,671,1138,681.3761,1146.2532,431142
23,400,1088,411.2503,1095.062,349055
24,865,1119,1435.2381,1125.5985,328575
25,715,1189,725.7168,1196.7455,327522
26,651,1114,660.9099,1121.4422,350218
27,824,1350,835.2965,1356.7994,340962
28,287,1396,297.4937,1403.4422,367363
29,357,1236,366.9581,1243.7486,327540
30,213,1185,222.6398,1192.9067,328077
31,242,1041,252.9746,1047.9053,327589
32,372,1041,382.5711,1047.6137,327005
33,153,1341,163.3324,1348.8453,393859
34,217,1423,228.05,1430.9933,406280
35,136,1018,147.4021,1025.4071,330293
36,121,1288,131.1721,1295.8909,348118
37,221,1087,231.6068,1095.0363,326827
38,468,950,479.297,956.5715,327529
39,527,1018,537.5525,1025.0658,327137
40,879,1000,889.4852,1007.1719,328396
41,913,1094,924.6563,1102.4883,328403
42,523,1290,533.8075,1297.2477,328015
43,941,1245,951.8279,1253.4532,327107
44,868,1798,878.9217,1806.507,362041
45,244,1568,254.8587,1574.9979,348366
46,397,1186,407.6011,1193.1942,353004
47,246,1287,256.4455,1295.5556,339538
48,892,1192,902.6453,1200.9045,327101
49,859,1378,869.2201,1385.0866,347207
50,470,1601,480.393,1607.3322,344166
51,1093,1618,1103.8023,1625.7941,326966
52,1647,1741,1657.8349,1749.9598,347763
53,1377,1570,1386.9862,1578.5336,363722
54,1494,1547,1505.0673,1555.3177,346132
55,1659,1529,1669.658,1535.9074,344273
56,1501,1608,1511.3246,1615.7314,344732
57,1725,1749,1735.8248,1755.4487,345913
58,1791,1537,1800.8673,1544.7519,356461
59,1881,1484,1891.9991,1492.9,327164
60,1577,1612,1587.9311,1620.3964,341904
61,1470,1402,1480.446,1410.1624,385904
62,1396,1425,1406.8237,1434.3047,470860
63,1626,1301,1635.5522,1310.002,421146
64,1684,1387,1694.5214,1394.9676,445669
65,1654,1251,1664.885,1259.0879,403124
66,1593,1247,1603.4742,1255.708,327623
67,1481,1190,1491.6005,1198.5667,329039
68,1676,1278,1686.7745,1286.589,501132
69,1911,1216,1921.9376,1224.1981,426588
70,1923,1167,1934.1868,1174.6931,374364
71,1533,1095,1544.0347,1101.86,327464
72,1421,1161,1430.6656,1169.8557,327117
73,1698,1104,1708.5503,1111.1258,347126
74,1726,1309,1737.1146,1315.986,327763
75,1651,1200,1661.6193,1207.5549,352498
76,1471,1294,1481.2249,1301.3739,347323
77,1355,1288,1365.471,1295.6253,387309
78,1365,1341,1375.4961,1349.7705,468030
79,1278,1259,1288.5513,1265.8673,328047
80,1377,1111,1387.6188,1119.1382,327011
81,1576,1050,1586.6059,1056.6902,327982
82,1694,1055,1705.4584,1063.3444,327002
83,1252,1154,1262.7072,1162.5778,327868
84,1834,1237,1845.1595,1244.3443,327107
85,1463,997,1474.0165,1004.3324,327685
86,1432,1018,1442.981,1026.0748,327259
87,1491,1020,1501.712,1028.8476,333734
88,1605,1172,1615.265,1179.6828,340602
89,1847,1042,1858.5847,1048.7091,327022
90,1141,1385,1151.1376,1394.6604,456923
91,1133,1305,1143.9253,1312.757,329099
92,1115,1200,1126.4578,1207.4198,328743
93,1184,1203,1195.1148,1210.1697,327576
94,1157,1227,1167.5088,1234.9194,327417
95,1041,1223,1051.8078,1230.8826,326987
96,907,1220,917.5292,1226.6554,327394
97,1034,1676,1063.9768,1685.0868,327633
98,1353,1135,1365.6481,1142.345,327551
99,1354,1482,1364.8044,1489.1851,358090
100,1240,1534,1249.9883,1541.5869,326943
101,404,799,413.7238,806.3249,330651
102,577,841,586.8215,848.605,328839
103,588,738,598.6631,745.9974,333226
104,427,884,437.9009,890.502,328388
105,659,643,669.2024,649.5723,327971
106,858,781,868.0301,789.4567,347272
107,781,782,791.2875,788.1576,327538
108,964,846,976.2123,854.3618,333957
109,791,865,801.5937,872.2207,327617
110,569,928,579.0782,934.6836,327333
111,435,738,444.9674,745.5208,329643
112,550,738,560.1645,745.7752,327052
113,749,642,759.2358,650.2698,330967
114,875,644,885.7787,652.0594,329197
115,1026,647,1036.1366,655.0767,328156
116,805,569,815.4073,577.1574,346051
117,772,398,782.4965,405.4706,369731
118,628,568,638.8404,575.5255,327387
119,950,433,960.2466,440.5903,333041
120,407,430,418.0903,438.0313,328446
121,407,382,417.2509,389.0421,328186
122,448,927,460.002,934.201,328146
123,235,642,244.9526,650.274,328356
124,374,661,384.616,668.1192,327831
125,156,536,165.8298,542.7889,327949
126,104,468,113.7361,475.6036,327675
127,88,555,99.1171,562.0567,327218
128,519,398,529.7502,404.8314,327639
129,326,244,336.3166,250.965,333921
130,634,271,644.3261,281.6755,328601
131,473,287,483.6875,294.8086,346051
132,788,139,797.9341,146.4364,354765
133,928,155,938.9112,162.35,341840
134,957,764,967.8938,771.2653,328116
135,751,842,762.3151,850.0331,327097
136,862,909,873.0274,916.7182,326980
137,748,800,759.191,808.2872,328260
138,934,955,944.5136,962.7616,327007
139,782,482,792.5484,489.1121,328066
140,683,700,694.3009,707.2631,327821
141,202,842,216.2294,849.0698,332145
142,582,533,593.3174,539.8562,356335
143,261,447,271.4324,455.9709,431986
144,713,605,724.2476,612.6844,328326
145,456,515,467.5183,522.2831,327660
146,760,318,771.1971,325.8069,328209
147,864,289,875.0118,296.3748,328715
148,124,277,134.3781,284.3406,327776
149,482,381,492.2395,388.6526,344203
150,274,383,284.3101,390.5235,360195
151,1230,919,1240.2988,927.2064,329082
152,1337,902,1348.1396,909.2181,343024
153,1240,772,1251.0931,778.9623,334859
154,1050,786,1060.2518,793.7661,327892
155,1320,857,1331.378,865.4051,328114
156,1343,969,1353.3852,976.204,329669
157,1323,774,1333.4217,781.5959,328447
158,1434,883,1444.4066,891.6404,326941
159,1555,743,1565.3555,751.3372,415605
160,1559,890,1569.6331,897.2552,326929
161,1597,786,1611.1094,794.1114,327605
162,1388,585,1398.3367,591.7772,333729
163,1292,693,1302.2586,701.1039,329165
164,1560,704,1570.5627,712.1201,328434
165,1530,783,1540.0709,790.6075,327319
166,1831,971,1841.7267,978.7135,327391
167,1865,822,1875.2278,829.2826,330599
168,1937,765,1947.2493,772.4605,329146
169,1244,653,1254.7588,661.0657,339583
170,1558,536,1568.0343,544.8696,401843
171,1625,505,1636.2852,513.0317,329468
172,1324,460,1334.5207,466.8136,332928
173,1300,442,1310.9091,449.2414,352851
174,1269,580,1278.8493,587.4992,328108
175,1155,709,1165.9414,716.3221,327538
176,1165,851,1175.9702,859.8685,327941
177,1078,612,1089.6559,618.7682,328546
178,1836,661,1846.5073,668.8411,328860
179,1872,554,1883.4961,560.9323,328378
180,1907,485,1917.2548,493.4612,330705
181,1767,461,1777.6076,469.1966,328297
182,1663,671,1673.6454,678.4343,330780
183,1561,609,1571.9439,617.0111,327331
184,1899,418,1908.9065,426.4587,394121
185,1539,400,1550.2407,408.6108,529738
186,1864,450,1873.9635,457.5085,343416
187,1217,357,1227.2427,365.2908,331007
188,1088,420,1098.0989,426.7898,328777
189,1415,317,1425.4652,324.3141,357665
190,1100,504,1110.2603,511.6537,328059
191,1685,474,1695.1202,481.7313,328140
192,1827,319,1837.2133,327.0596,333230
193,1082,452,1092.6708,459.9661,483923
194,1559,369,1568.6443,377.2445,329842
195,1769,496,1779.7693,502.9814,344155
196,1944,687,1955.4377,694.2222,327855
197,1972,375,1982.8807,382.7199,328646
198,1679,560,1689.6281,568.3435,328305
199,1226,472,1236.2813,480.6741,408377
200,1350,511,1360.7846,519.1111,360326
