@Id_orden,PosY
1,150
2,165
3,180
4,195
5,210
6,225
7,240
8,255
9,270
10,285
11,300
12,315
13,331
14,347
15,363
16,379
17,395
18,410
19,427
20,444
21,461
22,478
23,495
24,512
25,529
26,547
27,565
28,583
29,601
30,619
31,638
32,657
33,676
34,695
35,715
36,734
37,754
38,774
39,795
40,815
41,836
42,857
43,879
44,900
45,922
46,944
47,967
48,989
49,1012
50,1036
51,1059
52,1083
53,1107
54,1131
55,1156
56,1181
57,1206
58,1232
59,1258
60,1284
61,1310
62,1337
63,1364
64,1392
65,1420
66,1448
67,1476
68,1505
69,1534
70,1564
71,1594
72,1624
73,1655
74,1686
75,1717
76,1749
77,1781
78,1814
79,1847
80,1880
81,1914
