@id,posX,posY
1,811,1840
2,592,1736
3,675,1739
4,373,1549
5,542,1523
6,683,1526
7,732,1678
8,461,1703
9,763,1469
10,398,1610
11,797,1680
12,711,1556
13,996,1782
14,1033,1596
15,915,1562
16,977,1391
17,424,1300
18,434,1247
19,520,1382
20,619,1224
21,886,1334
22,682,1150
23,411,1099
24,876,1130
25,726,1200
26,662,1125
27,835,1361
28,298,1407
29,368,1247
30,224,1196
31,253,1052
32,383,1052
33,164,1352
34,228,1435
35,147,1029
36,132,1299
37,232,1098
38,479,961
39,538,1029
40,890,1011
41,924,1105
42,534,1301
43,952,1256
44,879,1809
45,255,1579
46,408,1197
47,257,1298
48,903,1203
49,870,1389
50,481,1612
51,1104,1629
52,1658,1752
53,1388,1581
54,1505,1558
55,1670,1540
56,1512,1619
57,1736,1760
58,1802,1548
59,1892,1495
60,1588,1623
61,1481,1414
62,1407,1436
63,1637,1313
64,1695,1399
65,1665,1262
66,1604,1258
67,1492,1201
68,1687,1290
69,1922,1228
70,1934,1178
71,1544,1106
72,1432,1172
73,1709,1115
74,1737,1320
75,1662,1211
76,1482,1305
77,1366,1299
78,1376,1353
79,1289,1270
80,1388,1122
81,1587,1061
82,1705,1066
83,1263,1165
84,1845,1248
85,1474,1008
86,1443,1029
87,1502,1031
88,1616,1183
89,1858,1053
90,1152,1397
91,1144,1316
92,1126,1211
93,1195,1214
94,1168,1238
95,1052,1234
96,918,1231
97,1045,1687
98,1364,1146
99,1365,1493
100,1251,1545
101,415,810
102,588,852
103,599,749
104,438,895
105,670,654
106,869,792
107,792,793
108,975,857
109,802,876
110,580,939
111,446,749
112,561,749
113,760,653
114,886,655
115,1037,658
116,816,580
117,783,409
118,639,579
119,961,444
120,418,441
121,418,393
122,459,938
123,246,653
124,385,672
125,167,547
126,115,479
127,99,566
128,530,409
129,337,255
130,645,282
131,484,298
132,799,150
133,939,166
134,968,775
135,762,853
136,873,920
137,759,811
138,945,966
139,793,493
140,694,711
141,213,853
142,593,544
143,272,459
144,724,616
145,467,526
146,771,329
147,875,300
148,135,288
149,493,392
150,285,394
151,1241,930
152,1348,913
153,1251,783
154,1061,797
155,1331,868
156,1354,980
157,1334,785
158,1445,894
159,1566,754
160,1570,901
161,1608,797
162,1399,596
163,1303,704
164,1571,715
165,1541,794
166,1842,982
167,1876,833
168,1948,776
169,1255,664
170,1569,547
171,1636,516
172,1335,471
173,1311,453
174,1280,591
175,1166,720
176,1176,862
177,1089,623
178,1847,672
179,1883,565
180,1918,496
181,1778,472
182,1674,682
183,1572,620
184,1910,430
185,1550,412
186,1875,461
187,1228,368
188,1099,431
189,1426,328
190,1111,515
191,1696,485
192,1838,330
193,1093,464
194,1570,380
195,1780,507
196,1955,698
197,1983,386
198,1690,571
199,1237,484
200,1361,522
